timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
3076714,-3.8,-0.0,-0.9,0.46,-0.15,9.80
3076764,-3.8,-0.0,-0.9,0.61,-0.19,9.54
3076814,-4.2,0.7,-1.2,0.57,-0.08,9.96
3076864,-4.2,0.7,-1.2,0.73,-0.08,9.73
3076914,-4.5,1.3,-1.1,0.80,0.00,9.27
3076964,-4.5,1.3,-1.1,1.00,-0.11,9.58
3077014,-4.0,1.7,-0.8,1.04,0.42,9.69
3077064,-4.0,1.7,-0.8,0.77,0.46,9.81
3077114,-3.2,2.0,-0.3,0.80,0.88,9.61
3077164,-3.2,2.0,-0.3,0.88,0.88,9.61
3077214,-3.1,3.3,-0.0,0.69,0.80,9.27
3077264,-3.1,3.3,-0.0,0.92,0.84,9.35
3077314,-3.4,5.4,0.2,1.00,0.92,9.35
3077364,-3.4,5.4,0.2,1.27,0.61,9.84
3077414,-3.2,8.2,0.0,1.27,0.88,9.88
3077464,-3.2,8.2,0.0,1.38,-0.15,9.96
3077514,-3.9,10.8,-0.7,1.76,-0.69,9.81
3077564,-3.9,10.8,-0.7,1.84,-0.54,9.58
3077614,-4.5,12.1,-0.2,1.88,0.23,9.96
3077664,-4.5,12.1,-0.2,1.68,0.34,9.43
3077714,-5.1,12.6,-0.2,1.72,0.19,9.58
3077764,-5.1,12.6,-0.2,1.61,0.15,9.81
3077814,-5.0,12.8,-0.3,1.53,0.00,9.73
3077864,-5.0,12.8,-0.3,1.49,0.08,9.69
3077914,-5.6,13.0,-0.5,1.57,-0.54,9.73
3077964,-5.6,13.0,-0.5,1.53,-0.30,9.65
3078014,-6.4,12.9,-0.1,1.57,-0.54,9.46
3078064,-6.4,12.9,-0.1,1.57,-0.50,8.70
3078114,-7.1,12.4,-0.2,1.42,-0.27,8.81
3078164,-7.1,12.4,-0.2,1.07,-0.54,8.82
3078214,-7.2,12.6,-2.1,1.00,-1.11,9.58
3078264,-7.2,12.6,-2.1,0.96,-0.77,10.23
3078314,-6.4,12.4,-3.5,1.23,-1.42,10.00
3078364,-6.4,12.4,-3.5,1.15,-0.84,10.34
